2.43048,16,2,2,2,8,8,4,
0.262938,16,8,2,8,8,2,4,
2.42744,16,2,2,2,2,2,16,
2.45076,16,2,8,2,16,4,16,
2.4476,16,2,8,4,8,2,16,
0.984187,16,4,4,16,2,16,4,
0.955748,16,4,2,8,16,8,8,
0.264348,16,8,2,8,2,2,8,
2.44909,16,2,16,4,2,16,8,
0.270264,16,8,2,2,2,16,4,
0.27887,16,8,8,8,16,8,4,
0.967466,16,4,2,4,16,16,16,
2.44444,16,2,2,16,16,2,16,
0.269118,16,8,2,16,8,2,8,
2.43046,16,2,2,8,4,2,4,
2.44303,16,2,2,2,2,2,8,
0.981789,16,4,4,8,16,2,8,
0.277534,16,8,4,8,8,2,8,
0.282074,16,8,4,16,2,2,16,
0.267485,16,8,2,16,4,4,2,
2.46503,16,2,16,2,8,16,2,
0.979236,16,4,4,4,16,2,4,
0.984799,16,4,8,8,16,2,8,
0.996014,16,4,8,2,4,8,2,
2.45965,16,2,4,2,2,8,8,
2.44229,16,2,2,4,2,16,4,
0.966975,16,4,2,8,8,16,8,
0.279821,16,8,4,2,8,2,4,
0.283395,16,8,8,16,4,16,4,
0.261356,16,8,2,8,4,2,2,
0.960782,16,4,2,4,4,2,2,
0.281179,16,8,4,2,2,2,16,
0.26844,16,8,2,2,8,8,4,
0.991685,16,4,16,16,8,2,16,
0.286526,16,8,4,16,8,16,16,
0.284967,16,8,8,16,2,16,16,
2.45509,16,2,4,4,2,4,4,
0.28579,16,8,16,4,2,8,16,
0.281658,16,8,4,16,2,2,16,
0.265708,16,8,2,4,8,8,2,
2.44764,16,2,4,8,2,4,8,
2.45193,16,2,4,16,4,4,4,
2.45592,16,2,4,2,16,4,8,
2.45828,16,2,8,2,4,8,2,
2.46342,16,2,8,2,8,2,8,
2.46078,16,2,8,2,2,8,4,
2.46571,16,2,8,16,8,16,2,
0.277096,16,8,4,4,16,2,8,
2.46473,16,2,16,2,8,2,16,
0.280561,16,8,4,4,8,16,4,
0.297811,16,8,4,16,2,8,8,
0.967296,16,4,2,2,4,8,2,
0.982279,16,4,4,4,16,4,8,
0.283657,16,8,16,4,8,4,4,
2.46019,16,2,16,16,8,4,8,
2.45714,16,2,4,2,16,8,8,
0.262493,16,8,2,8,4,4,4,
2.45672,16,2,8,8,16,4,16,
